FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,02:00:00 PM,BILBAO E-11,URBANA,CASAS DE HABITACION,CONTUNDENTES,31,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
,ATLÁNTICO,SOLEDAD,Martes,10:00:00 AM,SOLEDAD 2000,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,12,FEMENINO,SOLTERO,ESTUDIANTE,SECUNDARIA
10/08/2010 00:00:00,ANTIOQUIA,MEDELLÍN (CT),Viernes,06:45:00 PM,PEDREGAL C-6,URBANA,CASAS DE HABITACION,CONTUNDENTES,37,MASCULINO,CASADO,EMPLEADO POLICIAL,SECUNDARIA
01/01/2010 00:00:00,CUNDINAMARCA,SOACHA,Viernes,06:30:00 AM,CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,21,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,SECUNDARIA
01/01/2010 00:00:00,CUNDINAMARCA,SOACHA,Viernes,04:35:00 PM,-,URBANA,CASAS DE HABITACION,CONTUNDENTES,28,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,SECUNDARIA
01/01/2010 00:00:00,CUNDINAMARCA,SOACHA,Viernes,11:33:00 PM,LA FLORIDA I,URBANA,VIAS PUBLICAS,CONTUNDENTES,28,MASCULINO,DIVORCIADO,EMPLEADO PARTICULAR,SECUNDARIA
01/01/2010 00:00:00,HUILA,LA PLATA,Viernes,01:00:00 AM,VEREDA LA AZUFRADA,RURAL,VIAS PUBLICAS,CONTUNDENTES,30,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/01/2010 00:00:00,HUILA,NEIVA (CT),Viernes,01:00:00 AM,JOSE EUSTACIO RIVERA,URBANA,CASAS DE HABITACION,CONTUNDENTES,29,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,PRIMARIA
01/01/2010 00:00:00,HUILA,NEIVA (CT),Viernes,04:00:00 AM,PRADO NORTE,URBANA,CASAS DE HABITACION,CONTUNDENTES,36,FEMENINO,SOLTERO,AMA DE CASA,PRIMARIA
01/01/2010 00:00:00,HUILA,NEIVA (CT),Viernes,07:30:00 AM,EL VERGEL,URBANA,CASAS DE HABITACION,CONTUNDENTES,46,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/01/2010 00:00:00,HUILA,NEIVA (CT),Viernes,08:00:00 AM,MIRAMAR,URBANA,CASAS DE HABITACION,CONTUNDENTES,39,FEMENINO,SOLTERO,COMERCIANTE,SECUNDARIA
01/01/2010 00:00:00,HUILA,NEIVA (CT),Viernes,04:30:00 PM,POZO AZUL,URBANA,CASAS DE HABITACION,CONTUNDENTES,37,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/01/2010 00:00:00,HUILA,NEIVA (CT),Viernes,05:00:00 PM,DIEGO DE OSPINA,URBANA,CASAS DE HABITACION,CONTUNDENTES,24,FEMENINO,SOLTERO,ESTUDIANTE,SUPERIOR
01/01/2010 00:00:00,HUILA,NEIVA (CT),Viernes,05:00:00 PM,DIEGO DE OSPINA,URBANA,CASAS DE HABITACION,CONTUNDENTES,50,FEMENINO,UNION LIBRE,INDEPENDIENTE,PRIMARIA
01/01/2010 00:00:00,HUILA,NEIVA (CT),Viernes,09:30:00 PM,LOS ALPES,URBANA,CASAS DE HABITACION,CONTUNDENTES,26,FEMENINO,SOLTERO,INDEPENDIENTE,SECUNDARIA
07/04/2010 00:00:00,SANTANDER,GIRÓN,Domingo,03:00:00 AM,POBLADO,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,38,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
