FECHA,DEPARTAMENTO,MuNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
01/03/2011 00:00:00,META,GRANADA,Lunes,04:00:00 PM,POPULAR,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,48,FEMENINO,NO REPORTADO,NO REPORTA,NO REPORTADO
01/03/2011 00:00:00,META,VILLAVICENCIO (CT),Lunes,12:00:00 PM,MANANTIAL,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,16,FEMENINO,SOLTERO,NO REPORTA,SECUNDARIA
01/03/2011 00:00:00,META,VILLAVICENCIO (CT),Lunes,04:00:00 PM,SAN CARLOS,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,,FEMENINO,NO REPORTADO,NO REPORTA,NO REPORTADO
01/03/2011 00:00:00,META,VILLAVICENCIO (CT),Lunes,05:20:00 PM,12 DE OCTUBRE,URBANA,VIAS PUBLICAS,CONTUNDENTES,13,FEMENINO,SOLTERO,ESTUDIANTE,SECUNDARIA
01/03/2011 00:00:00,META,VILLAVICENCIO (CT),Lunes,05:20:00 PM,12 DE OCTUBRE,URBANA,VIAS PUBLICAS,CONTUNDENTES,14,FEMENINO,SOLTERO,ESTUDIANTE,SECUNDARIA
01/03/2011 00:00:00,META,VILLAVICENCIO (CT),Lunes,05:20:00 PM,12 DE OCTUBRE,URBANA,VIAS PUBLICAS,CONTUNDENTES,43,FEMENINO,UNION LIBRE,COMERCIANTE,PRIMARIA
01/03/2011 00:00:00,META,VILLAVICENCIO (CT),Lunes,05:30:00 PM,COVISAN,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,22,FEMENINO,UNION LIBRE,DESEMPLEADO,SECUNDARIA
01/03/2011 00:00:00,META,VILLAVICENCIO (CT),Lunes,08:00:00 PM,VILLA LORENA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,,FEMENINO,NO REPORTADO,NO REPORTA,NO REPORTADO
01/03/2011 00:00:00,RISARALDA,DOSQUEBRADAS,Lunes,10:10:00 AM,BOQUERON,RURAL,FINCAS Y SIMILARES,NO REPORTADO,44,FEMENINO,SEPARADO,AMA DE CASA,PRIMARIA
01/03/2011 00:00:00,RISARALDA,PEREIRA (CT),Lunes,08:45:00 AM,EL PORVENIR COM. CENTRO,RURAL,FINCAS Y SIMILARES,NO REPORTADO,19,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,RISARALDA,PEREIRA (CT),Lunes,03:30:00 PM,ADRIANOPOLIS,URBANA,VIAS PUBLICAS,CONTUNDENTES,41,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADO
01/03/2011 00:00:00,SANTANDER,BUCARAMANGA (CT),Lunes,04:00:00 PM,ANTONIA SANTOS,URBANA,CASAS DE HABITACION,CONTUNDENTES,34,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,SANTANDER,BUCARAMANGA (CT),Lunes,06:00:00 PM,CAMPO HERMOSO,URBANA,CASAS DE HABITACION,CONTUNDENTES,14,FEMENINO,SOLTERO,ESTUDIANTE,PRIMARIA
"01/03/2011 00:00:00,SANTANDER,BUCARAMANGA (CT),Lunes,07:00:00 PM,CENTRO,URBANA,""HOTELES, RESIDENCIAS, Y SIMILARES."",CONTUNDENTES,46,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA"
01/03/2011 00:00:00,SANTANDER,BUCARAMANGA (CT),Lunes,11:00:00 PM,CHORRERAS DE DON JUAN,URBANA,CASAS DE HABITACION,CONTUNDENTES,37,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,SANTANDER,BUCARAMANGA (CT),Lunes,11:30:00 PM,COMUNEROS,URBANA,APARTAMENTO EN CONJUNTO CERRADO,CONTUNDENTES,30,FEMENINO,CASADO,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,SANTANDER,GUADALUPE,Lunes,12:00:00 AM,VRDA  SABANETA,RURAL,CASAS DE HABITACION,CONTUNDENTES,35,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/03/2011 00:00:00,SUCRE,COROZAL,Lunes,01:00:00 AM,SAN IGNACIO,URBANA,CASAS DE HABITACION,CONTUNDENTES,18,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,SUCRE,COROZAL,Lunes,02:00:00 AM,LOS MANGUITOS,URBANA,CASAS DE HABITACION,CONTUNDENTES,43,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,SUCRE,EL ROBLE,Lunes,03:00:00 PM,CALLE REAL,URBANA,CASAS DE HABITACION,CONTUNDENTES,26,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,SUCRE,LOS PALMITOS,Lunes,06:00:00 PM,-,RURAL,CASAS DE HABITACION,CONTUNDENTES,33,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,SUCRE,SINCELEJO (CT),Lunes,03:00:00 PM,SAN ROQUE,URBANA,CASAS DE HABITACION,NO REPORTADO,58,FEMENINO,CASADO,NO REPORTA,SECUNDARIA
01/03/2011 00:00:00,SUCRE,SINCELEJO (CT),Lunes,08:00:00 PM,VILLA  MADY,URBANA,VIAS PUBLICAS,CONTUNDENTES,26,MASCULINO,CASADO,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,SUCRE,SINCELEJO (CT),Lunes,08:45:00 PM,VIDA,URBANA,VIAS PUBLICAS,CONTUNDENTES,26,FEMENINO,CASADO,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,BUENAVENTURA,Lunes,12:00:00 AM,RAFAEL URIBE URIBE,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,26,FEMENINO,CASADO,INDEPENDIENTE,PRIMARIA
01/03/2011 00:00:00,VALLE,BUENAVENTURA,Lunes,09:00:00 AM,EL JARDIN,URBANA,VIAS PUBLICAS,CONTUNDENTES,35,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/03/2011 00:00:00,VALLE,CAICEDONIA,Lunes,03:00:00 AM,VEREDA LA CAMELIA,RURAL,DENTRO DE LA VIVIENDA,ARMA BLANCA,25,FEMENINO,SOLTERO,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,01:00:00 AM,CALIMIO DESEPAZ E21,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,24,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,05:13:00 AM,TERRON COLORADO E1,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,27,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,07:00:00 AM,EL DORADO E10,URBANA,VIAS PUBLICAS,ARMA BLANCA,25,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
